Id,age
000000014A02348E701552980349FF01,46.7125476656
000000014A10EA183BF8594A0B2AB201,38.0846762414
000000014A4FE5C33A929D4C26943601,35.567116148
000000014B7BB9957784A9BC0AC9F401,35.8750213816
000000014C7749F896D82C2B01E8B801,36.8434592039
000000014CAD0728017D0850076EAA01,38.4178988534
000000014CD445FDBD0B82AB03B7E601,51.5983269019
000000014CE4E75679C7BAD4020FEA01,42.8046448374
000000014D21FF3C0D847BEE0D309801,52.0436317371
000000014D3ABB36375A07970C971401,38.6991040423
000000014D98FA2EA7479FB404A03101,33.3244723808
000000014DAE6C7C86332D11016BE501,36.2319254818
000000014DD67EF27730CD2C0030D201,40.3868754183
000000014DFED69C57CE072A04306601,36.2718206796
000000014E083FE5A9DE149404617301,33.1358894637
000000014E13029D28DD08A8000B8C01,42.3705532104
000000014E130B625265210900274D01,36.7807052419
000000014E1329B2352151A500573001,41.219416473
000000014E13344B1D9CD24D0015E201,23.9261003106
000000014E136A81387C51A900B68B01,32.066029723
000000014E140852325D08B0008E5501,43.2750616854
000000014E187ECE32BF08B102990B01,33.2556565411
000000014E1C67067A1516A600059001,38.5479809623
000000014E1C739F0CFD5FF60019F601,39.2534568867
000000014E1C770911C947120010A201,43.9609275397
000000014E1C79C5C12F05B300241B01,37.9177930409
000000014E33F54E06E9DEA702372801,50.5467512975
000000014E435E5B70122BC101D70901,50.7958065797
000000014E4A5A8948B7064603A26401,48.5327916895
000000014E4D2C4457D7F01E0246B301,47.0009402052
000000014E602B519B60E5AF00CB0001,35.2047238656
000000014E719890935D403501F83201,29.9606488528
000000014E7B1E3E3219A2C60396DE01,59.0901257228
000000014E9091A8BF67E90D05451901,39.8342229188
000000014E91DA6DB68D47F80328DD01,36.2319254818
000000014E9FDED80AF470C808A17501,39.0294287643
000000014EA1105E102C70C60A03A701,45.5978966089
000000014EA6D1B043B1BA71017E3601,45.0739204089
000000014EB672354C3705F105DDC301,39.5083375649
000000014EB8CF6DBDFA6CB600F92701,48.0021398113
000000014EB8D2642C8B51A600831901,30.2612795391
000000014EC608917201589404CF8A01,35.7052479865
000000014ECDEE7D0AAB3CE4022AA601,48.8816848671
000000014ED06EBA2E9027F402947001,52.0763384746
000000014ED31E726CC0064500D55601,33.7166559083
000000014ED6085310E2064701886901,31.6376828391
000000014EDA487177EF50C501B2BA01,57.113730763
000000014EE369DB1F7E755900BDB101,40.283306801
000000014EEE34157FC5750A070AEE01,39.0852657431
000000014EF083AF745777EE01B12601,44.6330444688
